<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.30	08:00:00	2760.54	2776.51	2760.13	2774.10	25861	0	7
2025.01.30	12:00:00	2774.07	2785.92	2773.76	2785.65	31485	0	7
2025.01.30	16:00:00	2785.70	2798.31	2779.96	2795.56	63882	0	7
2025.01.30	20:00:00	2795.60	2798.29	2787.41	2794.10	31169	0	7
2025.01.31	00:00:00	2792.86	2799.41	2791.20	2796.31	12375	0	7
2025.01.31	04:00:00	2796.31	2798.28	2793.80	2795.54	21055	0	7
2025.01.31	08:00:00	2795.53	2800.86	2791.53	2793.57	26761	0	7
2025.01.31	12:00:00	2793.57	2808.45	2790.86	2806.18	33118	0	7
2025.01.31	16:00:00	2806.30	2817.13	2803.01	2808.69	49076	0	7
2025.01.31	20:00:00	2808.66	2808.86	2794.13	2800.36	41840	0	7
2025.02.03	00:00:00	2801.33	2803.58	2778.19	2782.12	28510	0	7
2025.02.03	04:00:00	2782.11	2785.04	2772.04	2782.98	34686	0	7
2025.02.03	08:00:00	2782.96	2800.75	2782.80	2796.24	40292	0	7
2025.02.03	12:00:00	2796.22	2811.84	2792.78	2810.93	36352	0	7
2025.02.03	16:00:00	2810.98	2830.49	2810.05	2817.01	54922	0	7
2025.02.03	20:00:00	2817.01	2822.87	2812.22	2813.34	28272	0	7
2025.02.04	00:00:00	2812.27	2824.14	2811.97	2823.27	10253	0	7
2025.02.04	04:00:00	2823.28	2824.44	2813.29	2815.74	34332	0	7
2025.02.04	08:00:00	2815.70	2821.80	2807.08	2820.48	39988	0	7
2025.02.04	12:00:00	2820.48	2837.04	2812.59	2831.49	40324	0	7
2025.02.04	16:00:00	2831.48	2845.22	2828.78	2843.86	49178	0	7
2025.02.04	20:00:00	2843.89	2844.95	2840.85	2841.82	19609	0	7
2025.02.05	00:00:00	2840.77	2849.11	2839.55	2844.32	18026	0	7
2025.02.05	04:00:00	2844.32	2860.37	2843.74	2859.22	20429	0	7
2025.02.05	08:00:00	2859.22	2872.04	2854.90	2870.24	25686	0	7
2025.02.05	12:00:00	2870.26	2876.90	2858.42	2861.69	37791	0	7
2025.02.05	16:00:00	2861.62	2882.21	2860.57	2872.90	49132	0	7
2025.02.05	20:00:00	2872.90	2873.43	2859.82	2866.05	27739	0	7
2025.02.06	00:00:00	2866.84	2871.65	2863.62	2871.47	12366	0	7
2025.02.06	04:00:00	2871.47	2873.17	2864.26	2867.96	19686	0	7
2025.02.06	08:00:00	2867.97	2871.18	2848.71	2859.17	31450	0	7
2025.02.06	12:00:00	2859.17	2870.26	2855.40	2856.65	37524	0	7
