<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.24	00:00:00	3023.08	3026.20	3016.99	3018.53	9757	0	8
2025.03.24	04:00:00	3018.49	3025.55	3013.68	3019.34	26398	0	8
2025.03.24	08:00:00	3019.34	3028.90	3017.21	3028.68	28942	0	8
2025.03.24	12:00:00	3028.82	3033.22	3022.38	3024.21	35536	0	8
2025.03.24	16:00:00	3024.20	3028.14	3005.75	3009.78	51389	0	8
2025.03.24	20:00:00	3009.77	3014.54	3002.43	3012.74	20518	0	8
2025.03.25	00:00:00	3011.69	3014.82	3008.95	3014.13	5715	0	8
2025.03.25	04:00:00	3014.14	3016.38	3007.41	3015.11	21897	0	8
2025.03.25	08:00:00	3015.13	3021.90	3010.50	3021.30	22459	0	8
2025.03.25	12:00:00	3021.18	3026.37	3014.11	3021.67	24726	0	8
2025.03.25	16:00:00	3021.63	3035.99	3017.88	3023.14	39194	0	8
2025.03.25	20:00:00	3023.12	3023.28	3017.75	3019.78	13350	0	8
2025.03.26	00:00:00	3020.89	3022.32	3017.82	3018.03	4535	0	10
2025.03.26	04:00:00	3018.02	3027.03	3014.23	3015.11	25315	0	8
2025.03.26	08:00:00	3015.18	3032.05	3013.18	3023.99	29086	0	8
2025.03.26	12:00:00	3023.99	3030.36	3016.92	3027.03	28649	0	8
2025.03.26	16:00:00	3027.00	3027.39	3012.27	3015.58	43896	0	8
2025.03.26	20:00:00	3015.57	3021.79	3015.27	3019.39	20083	0	8
2025.03.27	00:00:00	3020.24	3025.70	3017.48	3025.27	8146	0	8
2025.03.27	04:00:00	3025.28	3038.56	3022.86	3034.00	29112	0	8
2025.03.27	08:00:00	3034.06	3037.86	3026.66	3036.05	31569	0	8
2025.03.27	12:00:00	3036.06	3055.81	3034.64	3052.64	14981	0	8
